"","date","crimes","arson","assault","damage","disorder","dui","drug","larceny","vehi_theft","family","away_team","home_team","day_night","completed","pitch","attendance","game_time","name","city","state","Game","Date","Opponent","Score","Decision","Record","X","X.1","X.2","X.3","X.4","X.5"
"142",2018-05-22,594,3,146,47,5,0,0,183,11,2,"COL","LAN","N",NA,"LOS03",43719,168,"Dodger Stadium","Los Angeles","CA","48","05-22-2018","vs Colorado Rockies","5-3","W","21-27",NA,NA,NA,NA,NA,NA
"143",2018-05-23,602,2,118,49,2,0,0,190,9,6,"COL","LAN","N",NA,"LOS03",45884,158,"Dodger Stadium","Los Angeles","CA","49","05-23-2018","vs Colorado Rockies","3-0","W","22-27",NA,NA,NA,NA,NA,NA
"144",2018-05-24,689,1,177,55,4,0,0,219,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",2018-05-25,707,1,183,66,2,0,0,213,6,0,"SDN","LAN","N",NA,"LOS03",44612,146,"Dodger Stadium","Los Angeles","CA","50","05-25-2018","vs San Diego Padres","4-1","W","23-27",NA,NA,NA,NA,NA,NA
"146",2018-05-26,653,5,164,47,4,0,0,222,7,1,"SDN","LAN","N",NA,"LOS03",43920,192,"Dodger Stadium","Los Angeles","CA","51","05-26-2018","vs San Diego Padres","5-7","L","23-28",NA,NA,NA,NA,NA,NA
"147",2018-05-27,636,0,206,74,0,0,0,175,11,4,"SDN","LAN","D",NA,"LOS03",46650,146,"Dodger Stadium","Los Angeles","CA","52","05-27-2018","vs San Diego Padres","6-1","W","24-28",NA,NA,NA,NA,NA,NA
"148",2018-05-28,643,0,186,68,5,0,0,180,11,2,"PHI","LAN","N",NA,"LOS03",39759,212,"Dodger Stadium","Los Angeles","CA","53","05-28-2018","vs Philadelphia Phillies","5-4","W","25-28",NA,NA,NA,NA,NA,NA
"149",2018-05-29,634,1,131,61,6,0,0,171,10,3,"PHI","LAN","N",NA,"LOS03",40044,206,"Dodger Stadium","Los Angeles","CA","54","05-29-2018","vs Philadelphia Phillies","1-6","L","25-29",NA,NA,NA,NA,NA,NA
"150",2018-05-30,659,0,149,61,8,0,0,206,10,5,"PHI","LAN","N",NA,"LOS03",43302,183,"Dodger Stadium","Los Angeles","CA","55","05-30-2018","vs Philadelphia Phillies","8-2","W","26-29",NA,NA,NA,NA,NA,NA
"151",2018-05-31,712,0,186,62,5,0,0,193,12,6,"PHI","LAN","D",NA,"LOS03",40986,160,"Dodger Stadium","Los Angeles","CA","56","05-31-2018","vs Philadelphia Phillies","1-2","L","26-30",NA,NA,NA,NA,NA,NA
"152",2018-06-01,858,1,194,61,3,0,0,230,7,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",2018-06-02,628,1,180,58,1,0,0,183,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",2018-06-03,691,0,210,69,2,0,0,167,13,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",2018-06-04,645,1,153,70,8,0,0,189,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",2018-06-05,622,0,171,58,2,0,0,175,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
